@relation corpus_final

@attribute corpus string
@attribute TLD {China,Germany,India,Japan,Pakistan}

@data
' According to CVSC Sofres Media  CSM  a joint venture between Central Viewer Survey and Consulting Center and the Taylor Sofres Group the first episode of the series received an initial rating share of 5.4 percent rising to 8.3 percent on June 21 or 8.28 million viewers for that episode just three days after it began showing. ',China
' The most popular shows are about real life of common people  a middle aged factory worker loses his job young urban professionals launch their own businesses and tales about struggles between father and son. ',China
' During the past few years Chinese TV series have become close to people s daily lives says Zhang Guoli a mainland actor director and producer who has been in the TV and film industry for 20 years. ',China
' The multi award winner says prime time TV  from 7 pm to 10 pm  is dominated mainly by soap operas.Also known as the King of Chinese TV he has taken the role of emperor in various TV series and is one of the most productive and critically acclaimed actors in China. ',China
' Golden Marriage ',China
' During the past few years Zhang has starred in some family themed dramas such as Golden Marriage  2007  which portrays a Chinese couple whose marriage lasts over 50 years  Brother  2008  which tells of the struggles of three brothers  and Big Life  2009  about an optimistic single parent father. ',China
' His latest work My Sweet Home a 20 episode TV series starring veteran actors Liu Peiqi and Li Liqun won wide recognition at the 15th Shanghai Television Festival last month. The story is about the life of 45 year old laid off factory worker Luo Zhigang. ',China
' While the settings and characters in these TV series are native the plot twists coincidences and flair for the dramatic recall soap operas in the West. ',China
' To cater to the local TV watching habits Beijing television station broadcasts three episodes a night which locks viewers to the TV set every evening. ',China
' There are two types of audiences in China  the older generation which accepts various TV series themes and the younger generation which loves modern romance Zhang says. ',China
' Elderly people are stable TV fans while the younger generation is enthusiastic about expressing its opinions on the Internet. Both of them have the power to drive the development of the Chinese TV industry. ',China
' Ever since the first major soap opera made in China the sensationally popular 50 part series called Aspirations audiences have got used to watch family story based TV series. ',China
' First broadcast in 1990 and re broadcast many times since then Aspirations begins in the 1960s and traces 20 years of hardships and joys shared by several families. ',China
' Another TV drama The Happy Life of Gossip Zhang Damin has had similar social feedback since it was first broadcast in 2001. Many Beijngers say the soap opera realistically portrays the lives of common people in Beijing s hutong. Most do not have phones in their homes burn coal to cook and live in cramped conditions. ',China
' Today due to the fast pace of economic development and foreign influences foreign soap operas have also become popular. ',China
' Ten years ago throughout Asia The Jewel in the Palace and Winter Sonata were must see television shows. Korean stars like Lee Young ae from The Jewel in the Palace had a huge fan base in China. ',China
' In recent years however the popularity of Korean soap operas has cooled as audiences prefer to watch fast paced American TV dramas. They buy DVDs of American TV series such as Sex and the City Ugly Betty and Heroes and watch them all evening. Actor Zhang says that though he has seen many American TV soap dramas none of my works have been seen by American TV makers. ',China
' Watching soap operas is a good way to learn about a country s culture and the lives of ordinary people. Foreign TV series have influenced our viewers but not the other way. ',China
' According to Zhang entering the global television market requires a lot of effort and cannot be achieved in a short period of time as DVDs with English subtitles need to be made and media promotion has to be done. However we are still lucky that China has such a big market and we have so many loyal TV fans Zhang says. ',China
' LIFE ',China
' Chinese Way ',China
' Wearing history   Chinese dress since 1949 ',China
'  China Today  Updated  2009 08 07 09 46 ',China
' In 1986 the media again led the trend  a report Yellow Skirts Are Prevalent in Beijing from China Textile Newspaper meant yellow skirts were soon popular across the country. In the late 1980s short skirts were gradually embraced by Chinese women who later became accustomed to wearing them with sweaters during spring and autumn. At that time copying styles was the way to stay in fashion and girls were not embarrassed to all dress the same. ',China
' During the late 1980s fashion shows became a major component of people s cultural life. As well as professional models people were deeply interested in organizing amateur teams for the elderly and children. Chinese fashion gradually became integrated with global trends. ',China
' Individual Styles ',China
' Since the 1990s a sewing machine has no longer been a vital necessity for most Chinese families. Chinese people started to buy ready made clothes and most work in the once booming tailor shops now involves altering garments. China has become the world s largest manufacturer and consumer of clothing. Large cities not only feature various domestic and overseas famous brand franchise stores but also countless stands selling low cost clothes. Consumers especially young people prefer roaming garment markets and dressing distinctively. I can dress anyway I like has become the prevalent attitude. Wearing the same clothes or colors as others now makes people embarrassed. A fashion magazine summed up the globalization of fashion  it is no surprise that a fashionable dress issued in Milan or Paris one day is being worn by women in Beijing or Shanghai the next. ',China
' For youths stars  dress sense has a considerable influence over their choice of apparel. Unlike their parents they wear casual outfits without hesitation. The prevalence of color in men s wear has fundamentally altered China s formerly drab attire. Moreover the changes in women s wear have confounded the older generation. The fashion for slip dresses for example was in the making for nearly two years. Initially they were worn with coats. As coats became simplified the dress  material becomes more and more transparent and light. The slip dress started to be really popular around 1998 and is still in vogue now. ',China
' Hip hop and skater styles are now a craze among some urban youngsters. ',China
' People s dress sense has become a matter of personal taste and individual personality. As well as style material is an important factor. Natural materials such as pure cotton are quite popular. Expensive ones like cashmere have also entered ordinary people s lives while some fashionable stars are now promoting the ethics of dressing. It is a disgrace to dress me up at the cost of an animal s life said popular Chinese actress Sun Li who never wears fur and was awarded the 2008 Best Dressed by People for the Ethical Treatment of Animals an international animal rights organization. ',China
' In line with the growth of national power people s confidence and sense of pride to their own culture has also increased. Movie star Maggie Cheung wore over 20 cheongsams in the popular film In the Mood for Love which gave Chinese women a feel for the beauty of traditional Chinese clothing. Cheongsams have consequently become a favorite style once again. Showing little resemblance to the cheongsams of the Qing Dynasty  1644 1911  today s dresses reveal not only the distinctive elegance and tenderness of Chinese women but also their graceful posture. Revised Chinese jackets have also enjoyed a resurgence in popularity after world leaders were photographed wearing Tang style suits at the APEC meeting in Shanghai in 2001. ',China
' People who love Chinese classical culture have advocated the campaign for Han Dynasty costumes. They believe stylish Chinese styles actually embody the characteristics of ethnic minorities in north China but not the genuine clothing of the Han majority which impressed people with its free and elegant feel. Participants in the campaign are mainly young people born in the 1980s and 1990s. ',China
' World leaders were photographed wearing Tang style suits at the APEC meeting in Shanghai in 2001. This photo displayed in a shop window attracted Shanghai citizens. ',China
' As illustrated above nearly every decade has seen Chinese society remade to an astonishing extent which can be traced through clothing  from cheongsams to the People s Suit Lenin Coat to military uniforms etc. Garments tell the story of China s modern history. ',China
' LIFE ',China
' Heritage ',China
' Peking Opera ',China
'  chinaculture.org  Updated  2006 11 21 15 25 ',China
' Area  Central Government Beijing Tianjin Liaoning Shanghai Shandong ',China
' Serial No.    28 ',China
' Declarer  China Peking Opera Theatre Beijing Tianjin Shanghai Liaoning and Shandong provinces ',China
' Although there are more than 360 ancient local operas in China Peking Opera is known as China s national opera despite its comparatively young 200 year history. ',China
' Although it is called Peking Opera the origins of Peking Opera are not in Beijing but in the provinces of Anhui  East China  and Hubei  South central China . Its rise is due in great part to the patronage of the imperial royalties. ',China
' Peking Opera is a purely Chinese opera form dating back to the year 1790 when the famous Four Anhui Opera Troupes first came to Beijing in celebration of the 80th birthday of Emperor Qianlong  1711 1799  of the Qing Dynasty  1644 1911 . The tour was a hit and the troupes stayed. In 1828 some famous Hubei Opera Troupe players came to Beijing. ',China
' The artists of Hubei and Anhui troupes often jointly performed on stage and absorbed repertoires music arias and performance techniques from each other and from other operas like Kun Qu Qin Qiang and Bang Zi as well as the local dialect and customs of Beijing. Its repertoires mainly depict fairy tales of preceding dynasties and important historical events. ',China
' It was after 1840 that Peking Opera formally took shape growing even faster during the reign of the Empress Dowager Cixi  1835 1908  who was an opera aficionado. Classic Peking Opera repertoires and the names of the first generation masters were on the lips of people in Beijing and eventually prevalent around the country. ',China
' Main Features ',China
' Unlike European operas which usually concentrate on one kind of performance in one stage representation Peking Opera integrates music singing dance costume art makeup acting andacrobaticsinto a unique whole. ',China
' 1. Roles ',China
' Peking Opera roles include sheng  male role  dan  female role  jing  painted face male role  and chou  comedic male role  distinguished on the basis of sex age and personality. ',China
' Sheng  male role  is divided intolao sheng xiao sheng and wu sheng respectively representing a decent middle aged man a young man and a male role who can fight. ',China
' Dan  female role  is divided into qing yi wu dan hua dan and lao dan respectively representing a middle aged woman who always acts as a Mrs. or Miss from a noble family a woman who can fight a young girl maid and an aged woman. ',China
' Jing  painted face role  refers to the male roles with all kinds of painted faces and acts to show a particular personality. ',China
' Chou  comic role which means clown  a wise and funny man usually with a low social status is divided into wen chou and wu chou. The former can read and write well and the latter can fight. ',China
' 2. Facial Make up ',China
' Facial make up  Lianpu  in Peking Opera is mostly applied to the male roles of jing and chou with particular styles to symbolize the different personalities characteristics and fates of the roles. ',China
' Some people argue that the facial make up is similar to the mask. Nevertheless there are great differences between the two in that masks are separate from the face. ',China
' Different make up colors symbolize different personalities  ',China
' Red    brave faithful and wise men with utter devotion ',China
' Purple    wise brave and steadfast men ',China
' Black   upright outspoken and never stooping to flattery ',China
' Blue    brave upright and outspoken men but obstinate and unruly ',China
' Green    hero of the bush chivalrous but with a testy temper ',China
' Yellow    valiant but ferocious military men or crafty civil officers ',China
' Country in City ',China
' Updated  2011 12 18 07 51 ',China
' As China becomes increasingly urbanized it has to find space for its urban and rural citizens as both groups become increasingly integrated. Experts suggest a possible model may be re inventing a garden city. Liu Yujie explores the concept. ',China
' China s mega cities are bursting at the seams. The country is now undergoing the quickest and biggest urbanization in the history of mankind. It is estimated that by 2025 China will have 400 million more people living in its cities raising its urban population to 900 million. Its current population already numbers 1.37 billion. ',China
' Guillermo Munro   China Daily ',China
' To cope with changing demographics and psychographics experts say future urban development requires the rural and city relationship to change from the rural serving urban mode to a cooperative brotherhood. ',China
' The situation is still immensely fluid and China s cities are changing constantly both in size and character. As they say it s changing every year with a transformation every three years. ',China
' New satellite towns are mushrooming on the urban fringes while city ring roads are rippling outwards into the countryside at amazing speed. In Beijing alone traffic congestion has already mired the fourth and fifth ring roads once considered countryside. ',China
' The problems are also cropping up with equal speed. ',China
' Satellite maps collected by Professor Joshua Bolchover at the University of Hong Kong bring the problem sharply into focus. They track the changing rural urban framework in the past 30 years and suggest that cities are brutally devouring surrounding rural land and rapidly reducing the amount of arable land. ',China
' Where has it all gone  New residential blocks new industrial zones new financial centers and the other inevitable signs and signatures of economic growth have sprung up almost overnight. ',China
' This is not a sustainable growth pattern especially when China has the world s largest population to feed. ',China
' Concerned urban planners are also starting to note the social and physical effects of the diaspora when displaced rural communities are forced into the cities. ',China
' A trend of thought is gradually taking shape and this is the concept of the garden city an amalgamation of country and city that is being mooted by architects and city planners. ',China
' Already some experts have criticized current building policies that demand a certain percentage of land to be put aside for picturesque greenery belt. They feel this merely caters to the sensitivities of China s emerging petite bourgeoisie. The land they say is completely unproductive useless and ignorant of the crisis of diminishing arable land. ',China
' Hua Li from Tao Architects is among the many professionals with such a voice. His argument is supported by a long term study on this subject. He says the answer is to preserve patches of productive farmland within urban boundaries. ',China
' This will not only bring work and purpose for displaced farmers but also reduce food miles. As Hua says less transportation means we have fresh agricultural products at lower costs and less carbon emission in the city. Urban farmland can also be showcased for agricultural tourism and education. ',China
' Hua is not grabbing at ideas in the air. The concept is already practiced at the grassroot level. ',China
' Zhang Guichun a 55 year old Beijinger has astonished the local community with his organic hanging garden on the roof of his traditional courtyard home north of Tian Tan or the Temple of Heaven in southern Beijing. ',China
' Even if we don t have enough land in the city agriculture can go vertical up to roof and balcony Zhang notes. ',China
' Zhang a traditional Chinese medicine practitioner began creating his hanging garden five years ago and now it is home to some 30 kinds of vegetables and fruit including tomatoes cucumbers sweet bell peppers melons and watermelons   all enough to feed his family. ',China
' For Zhang the rooftop project translates to tangible benefits such as safe nutritious vegetables a cooler home in summer fewer mosquitoes  thanks to the tomatoes which are natural insect repellents  and better bonding with neighbors. ',China
' Neighbors enjoy dropping by for a relaxing chat or just to see how well the lovely vegetables and fruit are doing. ',China
' People like Zhang are still rare. The greening of roof space with vegetables and fruit takes skill and energy. ',China
' But with more positive media exposure and advanced technology I believe my experiment has the prospect of becoming common practice in future. By then our cities will no longer look so gray when seen from the satellites. ',China
' Profile  Xi Jinping  Man of the people statesman of vision ',China
' File photo taken in 1988 shows Xi Jinping  front  then secretary of the Ningde Prefecture Committee of the Communist Party of China  CPC  participates in farm work during his investigation in the countryside.  Xinhua  ',China
' Making empty talk is harmful to the nation while doing practical work can help it thrive Xi said during a visit to The Road Toward Renewal exhibition in Beijing on the 15th day after his election as the CPC s new helmsman. ',China
' To put practical work in place Xi presided over a meeting of the Political Bureau of the CPC Central Committee that adopted eight measures to improve Party work style and tighten the bond with the people. The measures include more meetings with the people traveling light with a small entourage and using fewer traffic controls shortening meetings and speeches. The new measures have earned acclaim both at home and abroad. ',China
' Only solid work ensures that one will take the lead Xi has said. He has demanded concrete effort to tackle issues the people care about most. He believes that without implementation the best blueprint will be nothing more than a castle in the air. ',China
' When he served in Zhengding county Xi said that developing human resources was the key to shaking off poverty and backwardness in the county. He attended to the job himself by inviting professionals to the county and drawing up recruitment advertisements for talented personnel from across the country. ',China
' In the winter of 1983 he traveled to the provincial capital of Shijiazhuang to invite a cosmetics expert to work in Zhengding. Without a detailed address for the expert he went door to door asking where the expert lived and finally found him at night after yelling his name near his home. Xi and the expert talked until midnight and Xi finally persuaded the man to work in Zhengding. The expert later created more than 300000 yuan in revenue for the county within the first year. ',China
' In the same year Xi decided to publish nine ways for recruiting talented personnel something that was rare at the time and became a front page story in the Hebei Daily. He wrote more than 100 letters to experts and scholars as well as colleges and research institutions and paid visits to dozens of experts. Within two years Zhengding attracted 683 talented personnel and hired 53 well known experts as economic counselors. ',China
' Xi together with his colleague Lu Yulan then deputy Party chief of Zhengding despite heavy pressure told superior authorities about the excessive burden faced by the county due to compulsory grain purchases. The issue was eventually resolved. ',China
' In Ningde Xi was also practical and realistic. He pooled resources to implement aquaculture of the large yellow croaker a local specialty and greatly increased the income of local farmers. ',China
' He also ordered Party and government offices to make things convenient for the people. When serving in Fuzhou he advocated the principle of special procedures for special issues and do things now to make the government more efficient. This principle was attractive to numerous Taiwan enterprises and helped boost the local economy. He also proposed the compilation of two handbooks on government procedures for residents and overseas businesspeople. ',China
' In 2000 Xi initiated a move across Fujian to make the government more efficient. He proposed changes in government functions and procedures to reduce the number of matters that require government approval. By the end of 2001 the number was reduced by 40.4 percent or 606 items. ',China
' In 2001 Fujian became the first province in China to enact a policy making government affairs public. ',China
' In August 2002 Xi published an article on a major newspaper on The Experience of Jinjiang which emphasized the importance of the private economy in the development of the county. Also in 2002 he published an article on Nanping City s effort to send officials to work in villages. The practice of Nanping was later introduced all over the province thus enhancing ties between officials and farmers and making officials more oriented towards grassroots achievement. ',China
' In Zhejiang Xi stressed provincial development in the fields of public security the environment culture the rule of law and the marine economy. ',China
' To achieve these goals he made an individual case study in addition to making overall arrangements. In order to know how the localities were affected by provincial policies he went five times to a less developed mountain village called Xiajiang within less than two years. ',China
' He paid special attention to the marine economy. In December 2002 he put forward the goal of building Zhejiang into a province with a strong marine economy followed by guidelines and plans to realize this goal. The marine economy in Zhejiang has since developed quickly with annual growth of 19.3 percent. It accounted for nearly 8 percent of the Zhejiang economy in 2005. ',China
' He pushed for the integration of Ningbo and Zhoushan harbors. In 2006 Ningbo Zhoushan harbor had 420 million tonnes of cargo throughput ranking the second in China and among the world s top three. ',China
' He also pushed for the construction of the Hangzhou Bay Bridge an icon of cross sea bridges in China and once the world s longest cross sea bridge. ',China
' In 2003 Xi proposed that rural communities should be more like urban communities and efforts should be made to reduce the urban rural gap in quality of life. ',China
' Zhejiang had realized the development targets one by one during Xi s tenure. The province had the highest rating in ecology and the environment among all provincial level regions in 2005. In 2006 94.77 percent of the people were satisfied with the province s public security making Zhejiang one of the safest provinces in the country. ',China
' When Xi was in Zhejiang the province s GDP exceeded 1 trillion yuan in 2004 GDP per capita exceeded 3000 US dollars in 2005 and stood at nearly 4000 US dollars in 2006. The province ranked the fourth in sustainable development in 2006 next to Shanghai Beijing and Tianjin. ',China
' Furthermore all the province s poverty stricken counties and townships shook off poverty during the period. ',China
' In 2007 Xi was appointed secretary of the CPC Shanghai Municipal Committee. ',China
' Within a month of his appointment Xi conducted research on the people s livelihood development the Shanghai World Expo and the fight against corruption. The ninth Shanghai municipal congress of the CPC was successfully held which invigorated local officials rebuilt Shanghai s image and set forth a blueprint for Shanghai for the next five years. ',China
' Xi has said that a county Party chief should visit all the villages within the county a city Party chief all the townships and a provincial Party chief all the counties and cities. ',China
' He visited all the villages in Zhengding. In Ningde he visited nine counties within the first three months and traveled to most townships later on. After he was transferred to Zhejiang in 2002 he visited all 90 counties in just over a year. During his tenure in Shanghai he visited all 19 districts and counties in seven months. After he came to work in the central authority he visited all the 31 provinces regions and municipalities on the mainland. ',China
' Copyright 1995   . All rights reserved. The content  including but not limited to text photo multimedia information etc  published in this site belongs to China Daily Information Co  CDIC . Without written authorization from CDIC such content shall not be republished or used in any form. Note  Browsers with 1024 768 or higher resolution are suggested for this site. ',China
' License for publishing multimedia online 0108263 Registration Number  130349 ',China
' Reforms promised ',China
' Updated  2013 11 15 06 38 ',China
'  China Daily USA  ',China
' Editor s note  After the Third Plenary Session of the 18th Communist Party of China Central Committee concluded on Tuesday many ministries and local governments will produce blueprints or plans to implement the meeting s roadmap on reforms. The following comments are excerpts of remarks made by ministers and local government heads. ',China
' We must spare no effort to promote equity in the education sector and accelerate the reform on student recruitment. We shall seek a consensus from teachers students and the public to facilitate the overall reform of the education system. ',China
' Yuan Guiren minister of education ',China
' The reforms in our countryside have entered a crucial phase that requires determination and persistence. We shall further advance agricultural reform through stronger measures inject momentum to the rural areas and share with the rural population the benefits generated by reforms. We must speed up the integration of rural and urban development and enable farmers to take part in the modernization drive in an equal position. We will overcome the institutional obstacles that restrain rural andagricultural development. ',China
' Han Changfu minister of agricultureIn order to implement the plenum s requirement that makes the market have the final say in resource allocation we will check and rectify all practices that contradict market rules or interfere with competition. We will continue reviewing the ministry s administrative approval procedures and make sure that at least 30 percent of such procedures will be reduced by the end of 2015. ',China
' Miao Wei minister of industry and information technology ',China
' We shall uphold the spirit of innovation to boost the building of a basic public sport service system. We will strive to improve our performance in international sports events like soccer basketball and volleyball which are of major interest to the public. ',China
' Liu Peng director of the General Administration of Sport ',China
' We will steadily carry out the reform of commerce registration. The revision of relevant laws and regulations will begin soon. We have enhanced the training and informatization work to prepare a solid foundation for the reform. Registering a business will become much more convenient in the near future. ',China
' Zhang Mao head of State Administration for Industry and Commerce ',China
' The reform of the medicine and healthcare sectors will stick to the principles emphasized by the plenum that the reform must serve the public s interests. We will establish a reasonable subsidy mechanism for hospitals improve the capabilities of grassroots hospitals and clinics and accelerate the reform of publicly funded hospitals. ',China
' National Health and Family Planning Commission ',China
' The Beijing government will establish a leading group of deepening reforms to guide and coordinate major reforms in the capital city. ',China
' Guo Jinlong Party chief of Beijing ',China
' We will treat the development of the China  Shanghai  Pilot Free Trade Zone as our top priority and mobilize all of the city s resources to develop the zone. This is a mission given by the central government as well as a responsibility we should volunteer to take. ',China
' Hukou reform expected to be a gradual process ',China
' Updated  2013 11 15 06 38 ',China
' By Li Yang  China Daily USA  ',China
' Central government to tackle issue through indirect means analysts say ',China
' Xu Shaoshi minister of the National Development and Reform Commission promised to revise and improve the policy suggestion on urbanization that his commission submitted to the State Council in June. ',China
' He made the remarks on Wednesday during the first internal conference since the recent plenum. ',China
' Xu s stance appeared to confirm predictions that the central government will gradually modify urban and rural hukou  household registration  rather than canceling the controversial system overnight. ',China
' In June the commission suggested the government should completely lift hukou control in small towns and cities   a bid to ease restrictions in middle level cities   while gradually broadening conditions to apply for hukou in big cities. It also urged revamping hukou application conditions for megacities. ',China
' Experts believe the central government will approach the hukou issue indirectly by providing farmers with more property income and basic citizen welfare treatment. ',China
' Hukou reform would be one result of rural land reform urbanization and social security although the communique of the just concluded Third Plenum of the Communist Party of China s 18th Central Committee did not mention it by name. The communique rather stressed a balanced distribution of public resources and equalization of social welfare which some say will ultimately yield the desired result. ',China
' The communique has actually pointed out a clear direction and roadmap to break the hukou based dual structure of city and countryside by addressing the welfare disparity said Zhang Liqun an economy researcher at the National Development Research Center of the State Council. The integration of rural and urban is good for modernization of agriculture and healthy urbanization. ',China
' Wang Yongjun professor of finance at the Central University of Finance and Economics in Beijing said the equalization of welfare does not mean giving all citizens exactly the same level of social security. ',China
' It means that the minimum welfare standard for all citizens should be guaranteed by the government as its obligation to the people he said. ',China
' Analysts believe the equalization of public services mentioned in the communique is the Party s direct response to the public s cry for hukou reform   especially for migrant workers   with the concept of granting property rights to farmers part of the same message. ',China
' Cao Yuanzheng chief economist of the Bank of China told the media  The integration of public services is the essence of healthy urbanization and farmers will have the freedom to make a choice between the city and the countryside. ',China
' China has about 300 million migrant workers many of whom leave their farmland uncultivated to work in cities without having the privileges that come with having hukou there. ',China
' The integration of urban and rural in particular welfare and public services will diminish the difference between city and countryside hukou by a large margin and then the hukou system will exist only in name Cao said. ',China
' All depends on the future implementation as no reform can be carried out separately. ',China
' The plenum s call for a unified construction land market for city and countryside is crucial for achieving long overdue property rights for farmers experts say. Granting them the right to transfer mortgage or rent land is an immediate way to provide benefits since it takes a long time for public resources and services to adjust. ',China
' A widely held belief is that government should set up a profit distribution system that is well regulated   along with the unified land transfer market   to avoid grassroots governments  peeling away the farmers  profits. ',China
' China to deepen rural reforms ',China
' Chinese President Xi Jinping delivers a speech during the central rural work conference in Beijing.  Photo Xinhua  ',China
' BEIJING   China has pledged to deepen rural reforms and step up agricultural modernization according to a statement issued after a central rural work conference which ended on Tuesday. ',China
' The two day meeting was attended by Chinese President Xi Jinping Premier Li Keqiang and senior leaders Zhang Dejiang Yu Zhengsheng Liu Yunshan Wang Qishan and Zhang Gaoli. ',China
' Central government policy on the countryside agriculture and farmers has been effective in arousing enthusiasm in the new century and has boosted the development of agriculture and the countryside the statement said. ',China
' Reform started in the countryside and rural growth has contributed much to the leap from being barely fed and clothed to moderate prosperity. ',China
' When defining a moderately prosperous society the key is to observe the condition of farmers the statement said. ',China
' It must be noted that agriculture is still the weakest among the four pursuits of industrialization informatization urbanization and agricultural modernization. The countryside still lags behind the statement said. ',China
' If China wants to be strong agriculture must be strong. If China wants to be beautiful the countryside must be beautiful. If China wants to get rich the farmers must get rich the statement said. ',China
' Tackling problems in the countryside should be at the core of work of the central authorities the statement said. ',China
' Full bowls of rice ',China
' Populous as China is the task of simply feeding the people remains a high priority the statement said. ',China
' The bowls of the Chinese in any situation must rest soundly in our own hands. Our bowls should be filled mainly with Chinese grain. Only when a country is basically self sufficient in food can it take the initiative in food security and grasp the overall situation for economic and social growth it said. ',China
' China has set a red line guarantee that arable land never shrinks to less than 1.8 billion mu  120 million hectares . The line should be strictly followed the statement stressed. ',China
' To ensure the farmers profit from grain planting and the key production bases are active in encouraging farmers to plant grain more efforts should be made to link agricultural subsidies with grain output it said. ',China
' Irreplaceable rural families ',China
' To stick to the central authorities  rural policies the first lies in the basic rural management system. ',China
' Rural land is owned by the peasantry collectively and this is the soul of the rural basic management system the statement read. ',China
' Collective land should be contracted by rural families namely members of the collective economic organizations. ',China
' No other party can substitute the rural family status in contracting land and no matter how the right to contract for management is transferred the right to contract collective land belongs to rural families it said. ',China
' The subjects of the rights to contract for management will grow apart from the subjects of the rights to manage. This is the new trend for China s agricultural production relations the statement stressed. ',China
' Copyright 1995   . All rights reserved. The content  including but not limited to text photo multimedia information etc  published in this site belongs to China Daily Information Co  CDIC . Without written authorization from CDIC such content shall not be republished or used in any form. Note  Browsers with 1024 768 or higher resolution are suggested for this site. ',China
' License for publishing multimedia online 0108263 Registration Number  20100000002731 ',China
' Rural revelry ',China
' Castello di Solfagnano is nestled in the Umbria regionwhich meansthe green heartin Italian.The castle grows grapes and makes its own wine. Provided to China Daily ',China
' Umbria offers some of the best of the Italian countryside. Wang Shanshan discovers many delights this fertile land produces. ',China
' Our car wound for more than an hour through fields and then drove for another 20 minutes along a small road into the thick dark woodland before stopping at the castle s giant wooden gate. The gate opened slowly in the pouring rain. A well dressed gentleman holding an umbrella opened the car doors. Welcome to the castle he said. ',China
' A waiter was serving champagne. In another room a chef was frying truffles with eggs. ',China
' A dozen courses were already arranged on a table. And they were just appetizers. ',China
' The black fungus was displayed beside the cook. We could smell its strong aroma as soon he picked it up. ',China
' Umbria is one of the few places in the world blessed with an abundance of wild truffles. Food and wine lovers hire local guides for truffle hunting excursions in the woods. ',China
' Copyright 1995   . All rights reserved. The content  including but not limited to text photo multimedia information etc  published in this site belongs to China Daily Information Co  CDIC . Without written authorization from CDIC such content shall not be republished or used in any form. Note  Browsers with 1024 768 or higher resolution are suggested for this site. ',China
' License for publishing multimedia online 0108263 Registration Number  20100000002731 ',China
' Extreme weather will lash most parts of the country today after Beijing and Tianjin were plunged into darkness during extraordinary thunderstorms yesterday. ',China
' Heavy rain pours down in Beijing China June 16 2009. Local authority released a yellow alert for lightings on Tuesday.   Gong Lei Xinhua  ',China
' Commuters at Beijing Capital International Airport were left frustrated when 100 flights were delayed and 10 were cancelled as heavy rain clouds blocked all sunlight at about 11 am yesterday. ',China
' Streetlights were activated and motorists were forced to turn on car headlights amid the heavy rain. ',China
' Further rainfall is forecast for China s southwest north and some eastern regions today. Heavy rain is expected in Xinjiang Uygur autonomous region Liaoning and Yunnan province. ',China
' Meanwhile thunderstorms and hail are forecast for Liaoning Hebei Qinghai and Gansu provinces and Tianjin municipality. Strong winds are expected in Xinjiang Uygur and Inner Mongolia autonomous regions according to a forecast by the National Meteorological Center  NMC . ',China
' The NMC said severe convective weather which includes heavy rainfall in a short amount of time thunderstorms tornados and hail were hitting the country with unusual frequency. ',China
' The weather has prompted the bureau to warn farmers to speed up the reaping of wheat harvests. ',China
' During yesterday s storm the Beijing Meteorological Bureau recorded 538 thunderclaps between 10 am and 11 am. The storm later blackened skies above Tianjin and heavy rain was experienced in Hebei province. ',China
' Meanwhile rain strong winds and hail were reported in Sichuan Yunnan Guangdong and Hainan provinces. ',China
' Zhou Qingliao director of the NMC severe weather center said that the darkness that descended on Beijing and Tianjin was the result of storm clouds up to 10 kilometers thick blocking out the sun. ',China
' He said it was abnormal to see frequent severe convective weather in June and it was being caused by extraordinarily active cold air traveling south. There was recently three times the number of large scale storm systems within 10 days he added. ',China
' It follows the deaths of at least 14 people during severe storms in Anhui province on the weekend. ',China
' In addition to those who lost their lives 121 people were injured when strong winds hit four counties in Anhui province. About 20 people were considered severely injured local government reported. ',China
' Earlier this month a storm system known as a squall line killed 22 people and caused an economic loss of 1 billion yuan  US 146 million  in Shanxi Henan Shandong Anhui and Jiangsu provinces. ',China
' The pandemic fear grips the world as the virus spreads from Mexico to the US Europe and as far as China. ',China
' Rich and unique karst landforms located in south China display exceptional natural beauty. ',China
' The rare animals survive in the harsh natural environment of the Qinghai Tibet Plateau. ',China
' Riding at full gallop in the land of tallyho ',China
' Updated  2014 09 15 08 28 ',China
' By CECILY LIU China Daily  ',China
' Peter Phillips son of Princess Anne was co chairman of the festival with his father Mark Phillips an Olympic gold medal winning horseman and ex husband of Anne. Phillips also expressed great appreciation for Equex s efforts to promote cultural exchanges between China and the United Kingdom through equestrian sports. ',China
' I think what Equex has done will help people in the equestrian industry to understand that horses in China s history go back much further than the Anglo Saxon culture says Phillips. ',China
' It is important to emphasize this part of Chinese culture to the outside world. So if the general public understands about this they will want to take an interest in equestrian events in China says Phillips. ',China
' Phillips says it is important to have Equex as a partner for the Festival of British Eventing as it gives us an additional seal of approval that we are one of the top events in the country. ',China
' He met Lee two years ago when Equex first established itself in the UK market and started to look for partners to work with. Lee then invited Phillips to the first Shanghai International Horse Festival in December 2013 which Phillips says he enjoyed. ',China
' The Shanghai festival organized by Equex is a week of equestrian performance competitions symposiums banquets and a charity auction. It attracted about 50000 visitors last year and at its peak about 6000 to 7000 a day. The festival was deemed such a success that Equex decided to host it again this year as the renamed Horse on the Bund on Oct 24 26. ',China
' I watched the opening ceremony and events on the first day which I thought were really good. We saw a good mix on display Phillips says. ',China
' He says Equex s participation in the Festival of British Eventing should help to attract more top riders and international audiences to Horse on the Bund. ',China
' I think the more Equex does here in the UK the more they will increase awareness among the audiences they hope to invite to Shanghai. As Equex becomes known in the UK marketplace it adds to its level of authenticity in the eyes of the international audience Phillips says. ',China
' As one country of origin for horseracing and equestrian events horses have a special place in British culture Phillips says. ',China
